id_pedido;fecha;direccion;menu;monto;calificacion;t_despacho;t_preparacion;estado_transaccion
ID_2;01-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Italiano;27656;3.8;56.39569802;15.05984864;1
ID_3;01-01-2020;Sector 14, Noida;Italiano;12738;4.7;33.2001941;14.15739006;1
ID_3;01-01-2020;Sector 1, Noida;Francés;11073;4.7;75.4059631;13.72339231;1
ID_4;01-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Italiano;16951;4;46.01713503;15.81986171;1
ID_5;01-01-2020;D-Block, Sector 63, Noida;Francés;20600;3.4;49.3274973;16.14473725;1
ID_6;01-01-2020;Pune University;Chileno;15696;3.8;86.85276871;16.38956745;1
ID_8;01-01-2020;D-Block, Sector 63, Noida;Chileno;16364;3.9;46.44864336;17.7180189;1
ID_8;01-01-2020;D-Block, Sector 63, Noida;Chileno;20909;4.1;59.56707394;12.71229645;1
ID_9;01-01-2020;Nathan Road, Mangaldas Road, Pune;Italiano;63315;3.8;55.90956783;13.22257866;1
ID_11;01-01-2020;Nathan Road, Mangaldas Road, Pune;Francés;69801;4.2;65.94435115;14.92608115;1
ID_11;01-01-2020;MG Road, Pune;Español;70989;4.2;62.4791479;17.70603407;1
ID_12;01-01-2020;D-Block, Sector 63, Noida;Chileno;7976;3.4;77.32943658;16.59694573;1
ID_12;01-01-2020;Sector 1, Noida;Italiano;8284;3.5;64.58116974;16.64083845;1
ID_13;01-01-2020;MG Road, Pune;Peruano;50447;4.1;89.47221237;16.82716231;1
ID_13;01-01-2020;Nathan Road, Mangaldas Road, Pune;Chileno;51117;4.1;37.26869726;17.87391861;1
ID_14;01-01-2020;Delhi High Court, India Gate;Español;15481;3.2;67.88008165;13.86814215;1
ID_15;01-01-2020;Pune University;Italiano;7543;3.2;48.93182346;17.46931597;1
ID_15;01-01-2020;FTI College, Law College Road, Pune;Chileno;7894;3.2;49.77865766;12.71755917;1
ID_17;01-01-2020;D-Block, Sector 63, Noida;Chileno;15033;3.7;67.46604091;12.24340912;1
ID_18;01-01-2020;MG Road, Pune;Francés;30329;4.5;27.68015062;16.99562018;1
ID_18;01-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Francés;27724;4.3;41.65796907;12.55429343;1
ID_18;01-01-2020;Nathan Road, Mangaldas Road, Pune;Italiano;32439;4.5;72.90806076;16.62442034;1
ID_19;01-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Chileno;30961;4;45.95917211;13.48695956;1
ID_20;01-01-2020;FTI College, Law College Road, Pune;Español;12152;3.7;47.36931613;19.44129612;1
ID_23;01-01-2020;Jaya Nagar, Saidabad, Hyderabad;Chileno;15649;4;55.40725651;16.1186323;1
ID_24;01-01-2020;Delhi University-GTB Nagar;Peruano;40319;3.8;52.04758234;12.92600493;1
ID_25;01-01-2020;D-Block, Sector 63, Noida;Español;15525;4.3;58.37434668;13.63909506;1
ID_27;01-01-2020;Mumbai Central;Español;40207;3.9;54.65846337;13.71970362;1
ID_28;01-01-2020;Sector 14, Noida;Argentino;9683;4.1;47.04422082;12.8711811;1
ID_28;01-01-2020;D-Block, Sector 63, Noida;Italiano;9069;4.4;42.12244277;15.46869377;1
ID_28;01-01-2020;Sector 1, Noida;Chileno;8382;4.1;62.33359689;16.8328342;1
ID_29;01-01-2020;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Chileno;12470;2.8;46.7772242;12.87533861;1
ID_30;01-01-2020;Delhi Administration Flats, Timarpur;Francés;24854;2.7;47.26022756;13.20579714;1
ID_31;01-01-2020;Sector 63A,Gurgaon;Francés;16668;3;51.90798963;12.69110474;1
ID_33;01-01-2020;Delhi High Court, India Gate;Argentino;159530;3.9;86.55196335;12.49537838;1
ID_34;01-01-2020;FTI College, Law College Road, Pune;Español;14992;4;41.06132028;19.76131457;1
ID_36;01-01-2020;Sector 63A,Gurgaon;Peruano;21057;2.7;65.07189742;15.76636252;1
ID_38;01-01-2020;Delhi High Court, India Gate;Chileno;39244;3.9;70.5696185;13.18494135;1
ID_40;01-01-2020;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Francés;15312;3.2;67.99442499;13.2318664;1
ID_41;01-01-2020;Sector 1, Noida;Español;9071;3.1;44.67000271;15.33063978;1
ID_42;01-01-2020;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Francés;20871;3.9;70.41869234;14.4787782;1
ID_43;01-01-2020;Nathan Road, Mangaldas Road, Pune;Italiano;23420;4.3;68.44120955;15.63799021;1
ID_43;01-01-2020;Yerawada, Pune, Maharashtra;Chileno;23283;4.3;57.87578237;15.24199813;1
ID_43;01-01-2020;MG Road, Pune;Italiano;24161;4.3;46.77419228;17.33719905;1
ID_44;01-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Español;17028;4.1;43.86432799;13.1713133;1
ID_45;02-01-2020;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Peruano;7989;3.5;36.48601274;14.76831775;1
ID_45;02-01-2020;Delhi High Court, India Gate;Español;8568;3.8;45.76184911;16.72097293;1
ID_46;02-01-2020;Sector 63A,Gurgaon;Italiano;7441;4;45.31078205;16.78799614;1
ID_46;02-01-2020;D-Block, Sector 63, Noida;Peruano;7671;3.1;78.65284803;16.58258094;1
ID_46;02-01-2020;Delhi Administration Flats, Timarpur;Argentino;8884;3.8;30.79765707;16.92591488;1
ID_46;02-01-2020;Delhi University-GTB Nagar;Francés;7817;3.8;28.45945636;15.98269699;1
ID_47;02-01-2020;Sandhurst Road, Mumbai CST Area;Italiano;40175;4;83.22162656;14.87492072;1
ID_47;02-01-2020;Mumbai Central;Italiano;38933;4;77.44425288;17.69220206;1
ID_48;02-01-2020;Sector 1, Noida;Argentino;8585;4;64.17574415;19.45865133;1
ID_49;02-01-2020;Delhi Administration Flats, Timarpur;Francés;13337;3.2;64.05259581;12.30106192;1
ID_52;02-01-2020;Sector 1, Noida;Francés;7858;3.7;65.39288697;15.79557655;0
ID_54;02-01-2020;Dockyard Road, Mumbai CST Area;Peruano;13532;3.6;29.08943773;14.82391795;1
ID_54;02-01-2020;Sandhurst Road, Mumbai CST Area;Español;12185;3.6;66.43418707;15.45769379;1
ID_55;02-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Italiano;39879;4;56.07944373;14.61516179;1
ID_56;02-01-2020;Sector 63A,Gurgaon;Español;28722;4.2;27.76252963;13.19594792;1
ID_57;02-01-2020;Rmz Centennial, I Gate, Whitefield;Peruano;14920;3.9;77.70216413;19.01816668;1
ID_58;02-01-2020;D-Block, Sector 63, Noida;Francés;15985;3.5;35.56687015;14.74674774;1
ID_59;02-01-2020;Delhi Cantt.;Francés;11385;3.2;67.73570787;17.66563372;1
ID_61;02-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Italiano;5785;3.3;42.99059699;18.26564284;1
ID_62;02-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Peruano;22974;3.4;37.69657297;17.99971357;1
ID_63;02-01-2020;Delhi High Court, India Gate;Francés;47607;3.8;51.97785772;15.99346029;1
ID_64;02-01-2020;Sector 63A,Gurgaon;Italiano;17146;3.5;79.62983891;18.42228577;1
ID_65;02-01-2020;Hyderabad Public School, Begumpet;Italiano;15392;2.9;44.51089423;14.15058364;1
ID_66;02-01-2020;FTI College, Law College Road, Pune;Chileno;13330;4.2;36.93345711;19.14131754;1
ID_68;02-01-2020;Sector 1, Noida;Chileno;15727;3.2;67.94358406;14.06442797;1
ID_68;02-01-2020;Sector 14, Noida;Chileno;16160;3.2;25.54107825;16.65366401;1
ID_70;02-01-2020;FTI College, Law College Road, Pune;Peruano;16162;3.3;33.36525631;12.26835625;1
ID_70;02-01-2020;Pune University;Peruano;15410;3.1;45.90848893;12.42261432;1
ID_70;02-01-2020;Yerawada, Pune, Maharashtra;Chileno;16412;3.4;67.3852536;12.3157041;1
ID_71;02-01-2020;Sandhurst Road, Mumbai CST Area;Argentino;15241;3.6;33.36441551;14.84491941;1
ID_71;02-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Chileno;16352;4.4;45.95345719;12.08751162;1
ID_71;02-01-2020;FTI College, Law College Road, Pune;Italiano;12443;3.7;45.70469529;18.71562998;1
ID_71;02-01-2020;Mumbai Central;Chileno;15396;3.6;31.25850089;19.36321408;1
ID_72;02-01-2020;Mico Layout, Stage 2, BTM Layout,Bangalore;Español;8472;3.7;26.1943216;17.12318494;1
ID_73;02-01-2020;Babarpur, New Delhi, Delhi;Francés;11560;3.5;77.8518869;19.03397942;1
ID_77;02-01-2020;Sector 3, Marathalli;Chileno;12144;2.9;55.1674736;19.11418891;1
ID_82;02-01-2020;Hyderabad Public School, Begumpet;Francés;14934;3.2;84.22391915;18.30890376;1
ID_83;02-01-2020;Sector 1, Noida;Argentino;15306;3.3;74.12833944;18.7960783;1
ID_85;02-01-2020;MG Road, Pune;Italiano;12017;3.6;46.78988935;15.78341046;1
ID_86;02-01-2020;Majestic;Francés;12997;3.9;29.12151714;14.90111095;1
ID_89;02-01-2020;Sector 1, Noida;Francés;13528;3.1;64.07218681;14.53246592;1
ID_89;02-01-2020;Sector 14, Noida;Chileno;11223;3.1;25.34078664;15.32338684;1
ID_90;02-01-2020;Delhi Administration Flats, Timarpur;Español;21112;3.2;42.07037097;16.56756577;1
ID_91;02-01-2020;Delhi Cantt.;Italiano;9232;3.6;50.2657806;16.6099275;1
ID_92;02-01-2020;Delhi University-GTB Nagar;Italiano;13422;3.3;42.385089;16.74276933;1
ID_93;02-01-2020;Musi Nagar, Malakpet, Hyderabad;Chileno;8945;3.5;29.4517506;18.22343724;1
ID_94;02-01-2020;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;Argentino;11600;3.5;26.0156888;18.09781623;1
ID_97;02-01-2020;Delhi Cantt.;Francés;7431;3.4;32.1452918;15.48422731;1
ID_98;02-01-2020;Mumbai Central;Francés;9066;3.2;62.65667809;16.33246631;1
ID_99;02-01-2020;Rmz Centennial, I Gate, Whitefield;Chileno;9621;3.8;59.86931372;17.78991244;1
